nombre,poblacion,superficie,continente
Argentina,46000000,2780400,América
Brasil,213993437,8515767,América
México,126705138,1964375,América
Colombia,51874024,1141748,América
Canadá,38246108,9984670,América
Estados Unidos,331002651,9833517,América
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
España,47351567,505990,Europa
Italia,60367477,301340,Europa
Reino Unido,67886011,243610,Europa
Rusia,144104080,17098242,Europa
China,1439323776,9596960,Asia
India,1380004385,3287263,Asia
Japón,125800000,377975,Asia
Indonesia,273523615,1904569,Asia
Arabia Saudita,34813871,2149690,Asia
Nigeria,206139589,923768,África
Sudáfrica,59308690,1219090,África
Egipto,102334404,1001449,África
Australia,25499884,7692024,Oceanía
Uruguay,3400000,176000,América
